config_tag,fusion_type,split,n_runs,loss_mean,loss_std,top1_mean,top1_std,top5_mean,top5_std,seen_top1_mean,seen_top1_std,seen_top5_mean,seen_top5_std,unseen_top1_mean,unseen_top1_std,unseen_top5_mean,unseen_top5_std,auc_csp_style_mean,auc_csp_style_std
g2-lr5e-3-bs128-wd5e-5,clip_similarity,test,1,4.775769585671449,0.0,0.07564447864563294,0.0,0.2559445940746441,0.0,0.1453781512605042,0.0,0.3983193277310924,0.0,0.06000942063118229,0.0,0.2240226095148375,0.0,0.01610559835538035,0.0
g2-lr5e-3-bs128-wd5e-5,clip_similarity,val,1,4.781247874093376,0.0,0.08685220729366602,0.0,0.26727447216890593,0.0,0.16106290672451193,0.0,0.39370932754880694,0.0,0.0708955223880597,0.0,0.24008861940298507,0.0,0.021933150576441022,0.0
g2-lr5e-3-bs128-wd5e-5,cross_attention,test,1,nan,nan,0.0,0.0,0.003924586379376684,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.004145077720207254,0.0,nan,nan
g2-lr5e-3-bs128-wd5e-5,cross_attention,val,1,nan,nan,0.0,0.0,0.004606525911708253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005597014925373134,0.0,nan,nan
g3-lr5e-3-bs256-wd1e-5,clip_similarity,test,1,5.086041604614845,0.0,0.07910734898037707,0.0,0.2621777606771835,0.0,0.15798319327731092,0.0,0.42016806722689076,0.0,0.061422515308525674,0.0,0.22675459255770136,0.0,0.01662567268565947,0.0
g3-lr5e-3-bs256-wd1e-5,clip_similarity,val,1,5.087304013704384,0.0,0.08934740882917466,0.0,0.2755278310940499,0.0,0.1735357917570499,0.0,0.4116052060737527,0.0,0.07124533582089553,0.0,0.2462686567164179,0.0,0.023472468815516543,0.0
g4-lr5e-3-bs256-wd5e-5,clip_similarity,test,1,5.0860251803176135,0.0,0.0791843016544825,0.0,0.2621008080030781,0.0,0.15798319327731092,0.0,0.42058823529411765,0.0,0.06151672162034856,0.0,0.2265661799340556,0.0,0.016660960236778117,0.0
g4-lr5e-3-bs256-wd5e-5,clip_similarity,val,1,5.087267631852924,0.0,0.08944337811900192,0.0,0.2756238003838772,0.0,0.1735357917570499,0.0,0.4116052060737527,0.0,0.07136194029850747,0.0,0.24638526119402984,0.0,0.023523245496416257,0.0
g5-lr5e-4-bs128-wd1e-5,clip_similarity,test,1,4.966693701602808,0.0,0.074028472489419,0.0,0.25063485956136977,0.0,0.15546218487394958,0.0,0.40630252100840336,0.0,0.05577013659915214,0.0,0.21573245407442299,0.0,0.014969026970465732,0.0
g5-lr5e-4-bs128-wd1e-5,clip_similarity,val,1,4.969735841513137,0.0,0.08848368522072937,0.0,0.2682341650671785,0.0,0.17245119305856832,0.0,0.40563991323210413,0.0,0.07042910447761194,0.0,0.23868936567164178,0.0,0.021689001629263533,0.0
g6-lr5e-4-bs128-wd5e-5,clip_similarity,test,1,4.966693701602808,0.0,0.074028472489419,0.0,0.25063485956136977,0.0,0.15546218487394958,0.0,0.40630252100840336,0.0,0.05577013659915214,0.0,0.21573245407442299,0.0,0.014969026970465732,0.0
